wavelength	fluorescence
nm	a.u.
788.5	0.032
789.0	0.031
789.5	0.031
790.0	0.030
790.5	0.030
791.0	0.030
791.5	0.029
792.0	0.029
792.5	0.029
793.0	0.028
793.5	0.028
794.0	0.028
794.5	0.027
795.0	0.027
795.5	0.026
796.0	0.026
796.5	0.026
797.0	0.026
797.5	0.025
798.0	0.025
798.5	0.025
799.0	0.025
799.5	0.024
800.0	0.024
800.5	0.024
801.0	0.024
801.5	0.024
802.0	0.023
802.5	0.023
803.0	0.023
803.5	0.023
804.0	0.022
804.5	0.022
805.0	0.022
805.5	0.021
806.0	0.021
806.5	0.021
807.0	0.021
807.5	0.021
808.0	0.020
808.5	0.020
809.0	0.020
809.5	0.020
810.0	0.019
810.5	0.019
811.0	0.019
811.5	0.019
812.0	0.019
812.5	0.019
813.0	0.019
813.5	0.019
814.0	0.019
814.5	0.018
815.0	0.018
815.5	0.018
816.0	0.018
816.5	0.018
817.0	0.018
817.5	0.017
818.0	0.017
818.5	0.017
819.0	0.017
819.5	0.016
820.0	0.016
820.5	0.016
821.0	0.016
821.5	0.016
822.0	0.016
822.5	0.016
823.0	0.016
823.5	0.015
824.0	0.015
824.5	0.015
825.0	0.015
825.5	0.015
826.0	0.014
826.5	0.014
827.0	0.014
827.5	0.014
828.0	0.014
828.5	0.013
829.0	0.013
829.5	0.013
830.0	0.013
830.5	0.013
831.0	0.013
831.5	0.013
832.0	0.013
832.5	0.013
833.0	0.013
833.5	0.013
834.0	0.012
834.5	0.012
835.0	0.012
835.5	0.012
836.0	0.012
836.5	0.011
837.0	0.011
837.5	0.011
838.0	0.011
838.5	0.011
839.0	0.011
839.5	0.011
840.0	0.011
840.5	0.010
841.0	0.010
841.5	0.010
842.0	0.010
842.5	0.010
843.0	0.010
843.5	0.010
844.0	0.009
844.5	0.009
845.0	0.009
845.5	0.009
846.0	0.009
846.5	0.009
847.0	0.009
847.5	0.008
848.0	0.008
848.5	0.008
849.0	0.008
849.5	0.008
850.0	0.008
850.5	0.008
851.0	0.008
851.5	0.008
852.0	0.008
852.5	0.008
853.0	0.008
853.5	0.008
854.0	0.008
854.5	0.007
855.0	0.007
855.5	0.007
856.0	0.007
856.5	0.007
857.0	0.007
857.5	0.007
858.0	0.006
858.5	0.006
859.0	0.006
859.5	0.006
860.0	0.006
860.5	0.006
861.0	0.006
861.5	0.006
862.0	0.006
862.5	0.006
863.0	0.006
863.5	0.006
864.0	0.006
864.5	0.006
865.0	0.005
865.5	0.005
866.0	0.005
866.5	0.005
867.0	0.005
867.5	0.005
868.0	0.005
868.5	0.005
869.0	0.005
869.5	0.005
870.0	0.005
870.5	0.005
871.0	0.005
871.5	0.004
872.0	0.004
872.5	0.004
873.0	0.004
873.5	0.004
874.0	0.004
874.5	0.004
875.0	0.004
875.5	0.004
876.0	0.004
876.5	0.004
877.0	0.004
877.5	0.004
878.0	0.004
878.5	0.004
879.0	0.004
879.5	0.004
880.0	0.004
880.5	0.004
881.0	0.004
881.5	0.004
882.0	0.003
882.5	0.003
883.0	0.003
883.5	0.003
884.0	0.003
884.5	0.003
885.0	0.003
885.5	0.003
886.0	0.003
886.5	0.003
887.0	0.003
887.5	0.003
888.0	0.003
888.5	0.003
889.0	0.003
889.5	0.003
890.0	0.003
890.5	0.003
891.0	0.003
891.5	0.003
892.0	0.003
892.5	0.003
893.0	0.003
893.5	0.003
894.0	0.003
894.5	0.002
895.0	0.002
895.5	0.002
896.0	0.002
896.5	0.002
897.0	0.002
897.5	0.002
898.0	0.002
898.5	0.002
899.0	0.002
899.5	0.002
900.0	0.002
900.5	0.002
901.0	0.002
901.5	0.002
902.0	0.002
902.5	0.002
903.0	0.002
903.5	0.002
904.0	0.002
904.5	0.002
905.0	0.002
905.5	0.002
906.0	0.002
906.5	0.002
907.0	0.002
907.5	0.002
908.0	0.002
908.5	0.002
909.0	0.002
909.5	0.002
910.0	0.002
910.5	0.002
911.0	0.002
911.5	0.002
912.0	0.002
912.5	0.002
913.0	0.002
913.5	0.002
914.0	0.002
914.5	0.002
915.0	0.002
915.5	0.002
916.0	0.002
916.5	0.002
917.0	0.002
917.5	0.002
918.0	0.002
918.5	0.002
919.0	0.002
919.5	0.002
920.0	0.002
920.5	0.002
921.0	0.001
921.5	0.001
922.0	0.001
922.5	0.001
923.0	0.001
923.5	0.001
924.0	0.001
924.5	0.001
925.0	0.001
925.5	0.001
926.0	0.001
926.5	0.001
927.0	0.001
927.5	0.001
928.0	0.001
928.5	0.001
929.0	0.001
929.5	0.001
930.0	0.001
930.5	0.001
931.0	0.001
931.5	0.001
932.0	0.001
932.5	0.001
933.0	0.001
933.5	0.001
934.0	0.001
934.5	0.001
935.0	0.001
935.5	0.001
936.0	0.001
936.5	0.001
937.0	0.001
937.5	0.001
938.0	0.001
938.5	0.001
939.0	0.001
939.5	0.001
940.0	0.001
940.5	0.001
941.0	0.001
941.5	0.001
942.0	0.001
942.5	0.001
943.0	0.001
943.5	0.001
944.0	0.001
944.5	0.001
945.0	0.001
945.5	0.001
946.0	0.001
946.5	0.001
947.0	0.001
947.5	0.001
948.0	0.001
948.5	0.001
949.0	0.001
949.5	0.001
950.0	0.001
950.5	0.001
951.0	0.001
951.5	0.001
952.0	0.001
952.5	0.001
953.0	0.001
953.5	0.001
954.0	0.001
954.5	0.001
955.0	0.001
955.5	0.001
956.0	0.001
956.5	0.001
957.0	0.001
957.5	0.001
958.0	0.001
958.5	0.001
959.0	0.001
959.5	0.001
960.0	0.001
960.5	0.001
961.0	0.001
961.5	0.001
962.0	0.001
962.5	0.001
963.0	0.001
963.5	0.001
964.0	0.001
964.5	0.001
965.0	0.001
965.5	0.001
966.0	0.001
966.5	0.001
967.0	0.001
967.5	0.001
968.0	0.000
968.5	0.000
969.0	0.001
969.5	0.000
970.0	0.000
970.5	0.000
971.0	0.001
971.5	0.001
972.0	0.000
972.5	0.000
973.0	0.000
973.5	0.000
974.0	0.000
974.5	0.000
975.0	0.000
