wavelength	fluorescence
639.5	0.730
640.0	0.749
640.5	0.767
641.0	0.785
641.5	0.802
642.0	0.819
642.5	0.836
643.0	0.853
643.5	0.868
644.0	0.884
644.5	0.899
645.0	0.913
645.5	0.927
646.0	0.940
646.5	0.952
647.0	0.963
647.5	0.973
648.0	0.982
648.5	0.988
649.0	0.993
649.5	0.997
650.0	0.999
650.5	1.000
651.0	1.000
651.5	1.000
652.0	0.999
652.5	0.997
653.0	0.994
653.5	0.991
654.0	0.987
654.5	0.983
655.0	0.979
655.5	0.974
656.0	0.969
656.5	0.964
657.0	0.959
657.5	0.953
658.0	0.946
658.5	0.939
659.0	0.932
659.5	0.924
660.0	0.916
660.5	0.909
661.0	0.902
661.5	0.894
662.0	0.887
662.5	0.879
663.0	0.871
663.5	0.862
664.0	0.854
664.5	0.846
665.0	0.838
665.5	0.830
666.0	0.821
666.5	0.813
667.0	0.804
667.5	0.796
668.0	0.787
668.5	0.779
669.0	0.770
669.5	0.761
670.0	0.752
670.5	0.744
671.0	0.736
671.5	0.728
672.0	0.720
672.5	0.711
673.0	0.703
673.5	0.694
674.0	0.686
674.5	0.678
675.0	0.670
675.5	0.662
676.0	0.655
676.5	0.648
677.0	0.641
677.5	0.634
678.0	0.627
678.5	0.620
679.0	0.613
679.5	0.605
680.0	0.599
680.5	0.592
681.0	0.585
681.5	0.578
682.0	0.572
682.5	0.565
683.0	0.559
683.5	0.553
684.0	0.547
684.5	0.541
685.0	0.536
685.5	0.530
686.0	0.525
686.5	0.520
687.0	0.514
687.5	0.509
688.0	0.504
688.5	0.499
689.0	0.493
689.5	0.488
690.0	0.483
690.5	0.477
691.0	0.472
691.5	0.467
692.0	0.462
692.5	0.457
693.0	0.453
693.5	0.448
694.0	0.444
694.5	0.440
695.0	0.436
695.5	0.432
696.0	0.428
696.5	0.424
697.0	0.421
697.5	0.417
698.0	0.414
698.5	0.410
699.0	0.407
699.5	0.404
700.0	0.400
700.5	0.397
701.0	0.393
701.5	0.390
702.0	0.387
702.5	0.384
703.0	0.381
703.5	0.378
704.0	0.375
704.5	0.371
705.0	0.368
705.5	0.364
706.0	0.361
706.5	0.358
707.0	0.355
707.5	0.352
708.0	0.350
708.5	0.347
709.0	0.344
709.5	0.341
710.0	0.338
710.5	0.335
711.0	0.332
711.5	0.330
712.0	0.327
712.5	0.324
713.0	0.321
713.5	0.318
714.0	0.314
714.5	0.311
715.0	0.308
715.5	0.305
716.0	0.302
716.5	0.299
717.0	0.296
717.5	0.293
718.0	0.291
718.5	0.287
719.0	0.285
719.5	0.282
720.0	0.279
720.5	0.276
721.0	0.273
721.5	0.270
722.0	0.267
722.5	0.264
723.0	0.261
723.5	0.258
724.0	0.255
724.5	0.252
725.0	0.249
725.5	0.246
726.0	0.243
726.5	0.240
727.0	0.237
727.5	0.235
728.0	0.232
728.5	0.229
729.0	0.226
729.5	0.224
730.0	0.221
730.5	0.218
731.0	0.215
731.5	0.212
732.0	0.209
732.5	0.206
733.0	0.204
733.5	0.201
734.0	0.198
734.5	0.196
735.0	0.193
735.5	0.190
736.0	0.188
736.5	0.185
737.0	0.183
737.5	0.180
738.0	0.178
738.5	0.175
739.0	0.173
739.5	0.170
740.0	0.168
740.5	0.166
741.0	0.163
741.5	0.161
742.0	0.158
742.5	0.156
743.0	0.154
743.5	0.152
744.0	0.150
744.5	0.148
745.0	0.145
745.5	0.143
746.0	0.141
746.5	0.139
747.0	0.137
747.5	0.136
748.0	0.134
748.5	0.132
749.0	0.130
749.5	0.128
750.0	0.126
750.5	0.124
751.0	0.122
751.5	0.120
752.0	0.119
752.5	0.117
753.0	0.116
753.5	0.114
754.0	0.112
754.5	0.111
755.0	0.110
755.5	0.108
756.0	0.107
756.5	0.105
757.0	0.104
757.5	0.102
758.0	0.101
758.5	0.099
759.0	0.098
759.5	0.097
760.0	0.095
760.5	0.094
761.0	0.093
761.5	0.092
762.0	0.091
762.5	0.089
763.0	0.088
763.5	0.087
764.0	0.086
764.5	0.085
765.0	0.083
765.5	0.082
766.0	0.081
766.5	0.080
767.0	0.079
767.5	0.078
768.0	0.077
768.5	0.076
769.0	0.075
769.5	0.074
770.0	0.073
770.5	0.072
771.0	0.071
771.5	0.070
772.0	0.070
772.5	0.069
773.0	0.068
773.5	0.067
774.0	0.066
774.5	0.066
775.0	0.065
775.5	0.064
776.0	0.063
776.5	0.063
777.0	0.062
777.5	0.061
778.0	0.061
778.5	0.060
779.0	0.059
779.5	0.058
780.0	0.058
780.5	0.057
781.0	0.056
781.5	0.055
782.0	0.055
782.5	0.054
783.0	0.054
783.5	0.053
784.0	0.052
784.5	0.052
785.0	0.051
785.5	0.051
786.0	0.050
786.5	0.050
787.0	0.049
787.5	0.048
788.0	0.048
788.5	0.047
789.0	0.047
789.5	0.046
790.0	0.046
790.5	0.045
791.0	0.045
791.5	0.045
792.0	0.044
792.5	0.044
793.0	0.043
793.5	0.043
794.0	0.042
794.5	0.042
795.0	0.041
795.5	0.041
796.0	0.040
796.5	0.040
797.0	0.039
797.5	0.038
798.0	0.037
798.5	0.037
799.0	0.037
799.5	0.036
800.0	0.036
800.5	0.036
801.0	0.035
801.5	0.035
802.0	0.034
802.5	0.034
803.0	0.034
803.5	0.034
804.0	0.033
804.5	0.033
805.0	0.033
805.5	0.032
806.0	0.032
806.5	0.032
807.0	0.031
807.5	0.031
808.0	0.030
808.5	0.030
809.0	0.030
809.5	0.029
810.0	0.028
810.5	0.028
811.0	0.028
811.5	0.027
812.0	0.027
812.5	0.027
813.0	0.027
813.5	0.027
814.0	0.026
814.5	0.026
815.0	0.026
815.5	0.026
816.0	0.026
816.5	0.025
817.0	0.025
817.5	0.024
818.0	0.024
818.5	0.024
819.0	0.023
819.5	0.023
820.0	0.023
820.5	0.022
821.0	0.022
821.5	0.022
822.0	0.022
822.5	0.021
823.0	0.021
823.5	0.021
824.0	0.021
824.5	0.020
825.0	0.020
825.5	0.020
826.0	0.020
826.5	0.019
827.0	0.019
827.5	0.019
828.0	0.019
828.5	0.018
829.0	0.018
829.5	0.018
830.0	0.018
830.5	0.017
831.0	0.017
831.5	0.017
832.0	0.017
832.5	0.017
833.0	0.016
833.5	0.016
834.0	0.016
834.5	0.016
835.0	0.015
835.5	0.015
836.0	0.015
836.5	0.015
837.0	0.015
837.5	0.015
838.0	0.015
838.5	0.014
839.0	0.014
839.5	0.014
840.0	0.014
840.5	0.014
841.0	0.013
841.5	0.013
842.0	0.013
842.5	0.013
843.0	0.013
843.5	0.013
844.0	0.013
844.5	0.013
845.0	0.012
845.5	0.012
846.0	0.012
846.5	0.012
847.0	0.012
847.5	0.012
848.0	0.011
848.5	0.011
849.0	0.011
849.5	0.011
850.0	0.011
850.5	0.011
851.0	0.010
851.5	0.010
852.0	0.010
852.5	0.010
853.0	0.010
853.5	0.010
854.0	0.010
854.5	0.009
855.0	0.009
855.5	0.009
856.0	0.009
856.5	0.009
857.0	0.009
857.5	0.009
858.0	0.009
858.5	0.009
859.0	0.008
859.5	0.008
860.0	0.008
860.5	0.008
861.0	0.008
861.5	0.008
862.0	0.008
862.5	0.008
863.0	0.008
863.5	0.008
864.0	0.008
864.5	0.008
865.0	0.008
865.5	0.008
866.0	0.008
866.5	0.008
867.0	0.008
867.5	0.008
868.0	0.008
868.5	0.008
869.0	0.007
869.5	0.007
870.0	0.007
870.5	0.007
871.0	0.007
871.5	0.007
872.0	0.007
872.5	0.007
873.0	0.006
873.5	0.006
874.0	0.006
874.5	0.006
875.0	0.006
875.5	0.006
876.0	0.006
876.5	0.006
877.0	0.006
877.5	0.006
878.0	0.006
878.5	0.006
879.0	0.006
879.5	0.006
880.0	0.005
880.5	0.005
881.0	0.005
881.5	0.005
882.0	0.005
882.5	0.005
883.0	0.005
883.5	0.005
884.0	0.005
884.5	0.005
885.0	0.005
885.5	0.005
886.0	0.005
886.5	0.005
887.0	0.005
887.5	0.005
888.0	0.005
888.5	0.005
889.0	0.005
889.5	0.005
890.0	0.005
890.5	0.004
891.0	0.004
891.5	0.004
892.0	0.004
892.5	0.004
893.0	0.004
893.5	0.004
894.0	0.004
894.5	0.004
895.0	0.004
895.5	0.004
896.0	0.004
896.5	0.004
897.0	0.004
897.5	0.004
898.0	0.004
898.5	0.004
899.0	0.004
899.5	0.004
900.0	0.003
900.5	0.003
901.0	0.003
901.5	0.003
902.0	0.003
902.5	0.003
903.0	0.003
903.5	0.003
904.0	0.003
904.5	0.003
905.0	0.003
905.5	0.003
906.0	0.003
906.5	0.003
907.0	0.003
907.5	0.003
908.0	0.003
908.5	0.003
909.0	0.003
909.5	0.003
910.0	0.003
910.5	0.003
911.0	0.003
911.5	0.003
912.0	0.003
912.5	0.003
913.0	0.003
913.5	0.003
914.0	0.003
914.5	0.003
915.0	0.003
915.5	0.003
916.0	0.003
916.5	0.003
917.0	0.002
917.5	0.002
918.0	0.002
918.5	0.002
919.0	0.002
919.5	0.002
920.0	0.002
920.5	0.002
921.0	0.002
921.5	0.002
922.0	0.002
922.5	0.002
923.0	0.002
923.5	0.002
924.0	0.002
924.5	0.002
925.0	0.002
925.5	0.002
926.0	0.002
926.5	0.002
927.0	0.002
927.5	0.002
928.0	0.002
928.5	0.002
929.0	0.002
929.5	0.002
930.0	0.002
930.5	0.002
931.0	0.002
931.5	0.002
932.0	0.002
932.5	0.002
933.0	0.002
933.5	0.002
934.0	0.002
934.5	0.002
935.0	0.002
935.5	0.002
936.0	0.002
936.5	0.002
937.0	0.002
937.5	0.002
938.0	0.002
938.5	0.002
939.0	0.002
939.5	0.002
940.0	0.002
940.5	0.002
941.0	0.002
941.5	0.001
942.0	0.001
942.5	0.001
943.0	0.001
943.5	0.001
944.0	0.001
944.5	0.001
945.0	0.001
945.5	0.001
946.0	0.001
946.5	0.001
947.0	0.001
947.5	0.001
948.0	0.001
948.5	0.001
949.0	0.001
949.5	0.001
950.0	0.001
950.5	0.001
951.0	0.001
951.5	0.001
952.0	0.001
952.5	0.001
953.0	0.001
953.5	0.001
954.0	0.001
954.5	0.001
955.0	0.001
955.5	0.001
956.0	0.001
956.5	0.001
957.0	0.001
957.5	0.001
958.0	0.001
958.5	0.001
959.0	0.001
959.5	0.001
960.0	0.001
960.5	0.001
961.0	0.001
961.5	0.001
962.0	0.001
962.5	0.001
963.0	0.001
963.5	0.001
964.0	0.001
964.5	0.001
965.0	0.001
965.5	0.001
966.0	0.001
966.5	0.001
967.0	0.001
967.5	0.001
968.0	0.001
968.5	0.001
969.0	0.001
969.5	0.001
970.0	0.001
970.5	0.001
971.0	0.001
971.5	0.001
972.0	0.001
972.5	0.001
973.0	0.001
973.5	0.001
974.0	0.001
974.5	0.001
975.0	0.001
975.5	0.001
976.0	0.001
976.5	0.001
977.0	0.001
977.5	0.001
978.0	0.001
978.5	0.001
979.0	0.001
979.5	0.001
980.0	0.001
980.5	0.001
981.0	0.001
981.5	0.001
982.0	0.001
982.5	0.001
983.0	0.001
983.5	0.001
984.0	0.001
984.5	0.001
985.0	0.001
985.5	0.001
986.0	0.001
986.5	0.001
987.0	0.001
987.5	0.001
988.0	0.001
988.5	0.001
989.0	0.001
989.5	0.001
990.0	0.001
990.5	0.001
991.0	0.001
991.5	0.001
992.0	0.001
992.5	0.001
993.0	0.001
993.5	0.001
994.0	0.001
994.5	0.001
995.0	0.001
995.5	0.001
996.0	0.001
996.5	0.001
997.0	0.001
997.5	0.001
998.0	0.001
998.5	0.001
999.0	0.001
999.5	0.001
1000.0	0.001
