635,0.0012621
636,0.22175
637,0.44097
638,0.65767
639,0.87059
640,1.0798
641,1.2929
642,1.52
643,1.7713
644,2.0572
645,2.3877
646,2.773
647,3.2236
648,3.7575
649,4.4043
650,5.1948
651,6.1597
652,7.3294
653,8.7263
654,10.32
655,12.062
656,13.903
657,15.801
658,17.79
659,19.94
660,22.321
661,25.001
662,28.011
663,31.354
664,34.945
665,38.242
666,41.26
667,44.69
668,49.142
669,54.55
670,60.907
671,67.745
672,74.655
673,81.935
674,88.878
675,94.12
676,97.505
677,99.404
678,100.25
679,100.46
680,100.48
681,100.51
682,100.53
683,100.48
684,100.34
685,100.05
686,99.572
687,98.827
688,97.737
689,96.223
690,94.23
691,91.864
692,89.289
693,86.619
694,83.797
695,80.74
696,77.435
697,73.974
698,70.439
699,66.887
700,63.423
701,60.248
702,57.487
703,55.06
704,52.858
705,50.759
706,48.63
707,46.334
708,43.797
709,41.179
710,38.688
711,36.456
712,34.474
713,32.717
714,31.161
715,29.78
716,28.552
717,27.458
718,26.481
719,25.604
720,24.812
721,24.087
722,23.413
723,22.774
724,22.153
725,21.535
726,20.919
727,20.306
728,19.698
729,19.097
730,18.504
731,17.921
732,17.35
733,16.794
734,16.253
735,15.729
736,15.225
737,14.741
738,14.28
739,13.842
740,13.425
741,13.028
742,12.651
743,12.292
744,11.951
745,11.627
746,11.322
747,11.037
748,10.776
749,10.539
750,10.329
751,10.149
752,9.9914
753,9.8332
754,9.6468
755,9.4047
756,9.0796
757,8.6494
758,8.1549
759,7.6769
760,7.2967
761,7.0553
762,6.9145
763,6.8266
764,6.7441
765,6.6191
766,6.4042
767,6.0717
768,5.6589
769,5.2159
770,4.7931
771,4.4308
772,4.1247
773,3.8579
774,3.6136
775,3.375
776,3.1325
777,2.8947
778,2.673
779,2.4787
780,2.3231
781,2.2099
782,2.1318
783,2.0807
784,2.0488
785,2.0278
786,2.0098
787,1.9868
788,1.9517
789,1.9047
790,1.8489
791,1.7874
792,1.7233
793,1.6597
794,1.5994
795,1.5407
796,1.4788
797,1.409
798,1.3264
799,1.2264
800,1.1041
801,0.9557
802,0.78395
803,0.59469
804,0.39376
805,0.187
