Var1,Var2
614,1.2671e-07
615,1.2793e-07
616,1.2998e-07
617,1.3207e-07
618,1.3419e-07
619,1.3635e-07
620,1.3458e-07
621,1.3123e-07
622,1.2797e-07
623,1.2479e-07
624,1.2169e-07
625,1.215e-07
626,1.22e-07
627,1.2251e-07
628,1.2301e-07
629,1.2352e-07
630,1.2297e-07
631,1.2232e-07
632,1.2167e-07
633,1.2102e-07
634,1.2039e-07
635,1.2136e-07
636,1.2233e-07
637,1.2331e-07
638,1.2604e-07
639,1.3408e-07
640,1.4263e-07
641,1.5173e-07
642,1.5584e-07
643,1.5832e-07
644,1.2002e-07
645,5.9928e-08
646,1e-07
647,9.5335e-08
648,6.0422e-08
649,4.4416e-08
650,5.2728e-08
651,4.5523e-08
652,9.8672e-08
653,8.7941e-08
654,7.6673e-08
655,1.7281e-07
656,5.4421e-07
657,2.8288e-06
658,2.4308e-05
659,0.00033622
660,0.01271
661,0.10165
662,0.49297
663,0.93035
664,0.91879
665,0.93154
666,0.93525
667,0.95399
668,0.95445
669,0.95993
670,0.9627
671,0.96098
672,0.96397
673,0.96491
674,0.96434
675,0.96578
676,0.96873
677,0.96798
678,0.96744
679,0.96596
680,0.96473
681,0.96351
682,0.9655
683,0.96762
684,0.96595
685,0.96478
686,0.96327
687,0.9581
688,0.95307
689,0.95436
690,0.96171
691,0.9646
692,0.96301
693,0.96024
694,0.9627
695,0.96512
696,0.96417
697,0.96547
698,0.96819
699,0.96733
700,0.96541
701,0.96657
702,0.96639
703,0.96606
704,0.95361
705,0.92546
706,0.90361
707,0.85607
708,0.66775
709,0.36903
710,0.04909
711,0.00522
712,0.00075565
713,0.0001697
714,4.5291e-05
715,1.4528e-05
716,5.3252e-06
717,2.4031e-06
718,1.106e-06
719,5.9286e-07
720,3.2997e-07
721,2.5759e-07
722,2.1203e-07
723,2.4189e-07
724,2.7231e-07
725,2.7782e-07
726,2.6395e-07
727,2.5077e-07
728,2.4605e-07
729,3.2059e-07
730,4.1772e-07
731,5.4427e-07
732,7.0916e-07
733,8.6217e-07
734,7.9858e-07
735,7.3968e-07
736,6.8513e-07
737,6.346e-07
738,6.2497e-07
739,7.0823e-07
740,8.0259e-07
741,9.0953e-07
742,1.0307e-06
743,1.0767e-06
744,9.9701e-07
745,9.232e-07
746,8.5485e-07
747,7.9156e-07
748,8.025e-07
